Country Name,Uruguay
Country Code,URY
Series Name,GDP per capita (constant 2015 US$)
Series Code,NY.GDP.PCAP.KD
1976 [YR1976],7453.06661
1977 [YR1977],7514.582677
1978 [YR1978],7874.423978
1979 [YR1979],8322.210875
1980 [YR1980],8772.554297
1981 [YR1981],8875.413721
1982 [YR1982],7976.398752
1983 [YR1983],7125.057297
1984 [YR1984],7011.482364
1985 [YR1985],7080.001086
1986 [YR1986],7663.581677
1987 [YR1987],8229.872992
1988 [YR1988],8302.574845
1989 [YR1989],8344.469665
1990 [YR1990],8320.355905
1991 [YR1991],8565.269278
1992 [YR1992],9193.551221
1993 [YR1993],9388.109391
1994 [YR1994],10019.34792
1995 [YR1995],9822.896804
1996 [YR1996],10316.20276
1997 [YR1997],11138.86761
1998 [YR1998],11584.94919
1999 [YR1999],11357.08669
2000 [YR2000],11096.33096
2001 [YR2001],10643.5574
2002 [YR2002],9806.771306
2003 [YR2003],9878.756843
2004 [YR2004],10366.90674
2005 [YR2005],11131.39849
2006 [YR2006],11574.47054
2007 [YR2007],12310.48274
2008 [YR2008],13165.83628
2009 [YR2009],13691.71421
2010 [YR2010],14722.37801
2011 [YR2011],15443.99619
2012 [YR2012],15949.3177
2013 [YR2013],16639.40548
2014 [YR2014],17122.03646
2015 [YR2015],17125.90168
2016 [YR2016],17357.235
2017 [YR2017],17611.60367
2018 [YR2018],17608.94412
2019 [YR2019],17758.43844
2020 [YR2020],16443.3635
2021 [YR2021],17416.00522
2022 [YR2022],18228.35584
2023 [YR2023],18378.98336
2024 [YR2024],18958.60333
2015 [YR2015],17125.90168
2016 [YR2016],17357.235
2017 [YR2017],17611.60367
2018 [YR2018],17608.94412
2019 [YR2019],17758.43844
2020 [YR2020],16443.3635
2021 [YR2021],17416.00522
2022 [YR2022],18228.35584
2023 [YR2023],18378.98336
2024 [YR2024],18958.60333
